FISCAL YEAR,COUNTY NUMBER,County,PUBLIC SAFETY AND LEGAL SERVICES,PHYSICAL HEALTH SOCIAL SERVICES,"MENTAL HEALTH, ID & DD",COUNTY ENVIRONMENT AND EDUCATION,ROADS & TRANSPORTATION,GOVERNMENT SERVICES TO RESIDENTS,ADMINISTRATION,NONPROGRAM CURRENT,DEBT SERVICE,CAPITAL PROJECTS,SUBTOTAL EXPENDITURES,OPERATING TRANSFERS OUT,REFUNDED DEBT/PAYMENTS TO ESCROW,TOTAL EXPENDITURES & OTHER USES,Primary County Coordinates
2012,86,TAMA,2856717,1351967,1779211,687302,7113583,487654,1009673,652,0,287852,15574611,1813675,0,17388286,POINT (-92.5325425 42.07981170000001)
2013,86,TAMA,3370375,1378006,1483739,747357,7764851,471667,1196470,2002,0,630914,17045381,2177946,0,19223327,POINT (-92.5325425 42.07981170000001)
2014,86,TAMA,3243270,1405657,1103027,1147381,6148391,498199,1289063,943,199501,6465274,21500706,1974841,0,23475547,POINT (-92.5325425 42.07981170000001)
2015,86,TAMA,3172659,1535900,879174,699141,6391779,487714,1292646,67,155485,3431208,18045773,2084646,0,20130419,POINT (-92.5325425 42.07981170000001)
2016,86,TAMA,3177052,1512331,831171,973325,6526626,521941,1339635,6039,250485,662493,15801098,2246911,0,18048009,POINT (-92.5325425 42.07981170000001)
2017,86,TAMA,3573498,1552140,940824,949375,7219050,528596,1428508,5782,349060,830933,17377766,2333702,0,19711468,POINT (-92.5325425 42.07981170000001)
2018,86,TAMA,3528069,1575159,944682,802835,7189245,528690,1502160,1502,571135,1121592,17765069,2395865,0,20160934,POINT (-92.5325425 42.07981170000001)
2019,86,TAMA,3607725,1635338,910792,796090,8542374,558390,1557480,9755,569835,1435730,19623509,3734693,0,23358202,POINT (-92.5325425 42.07981170000001)
2020,86,Tama,3607893,1746257,717851,775671,8686066,612612,1702436,5035,6870413,750963,25475197,2910162,0,28385359,POINT (-92.5325425 42.07981170000001)
2021,86,Tama,3733002,1856488,563205,993532,7511392,720244,2171190,1145,921161,4372699,22844058,3248810,0,26092868,POINT (-92.5325425 42.07981170000001)
2010,87,TAYLOR,789241,882856,471819,269782,2875168,272125,581863,0,200911,18141,6361906,662281,0,7024187,POINT (-94.6964148 40.73743240000001)
2011,87,TAYLOR,817406,961236,505220,173144,2980114,285914,601417,0,208634,603301,7136386,685081,0,7821467,POINT (-94.6964148 40.73743240000001)
2012,87,TAYLOR,856229,983560,575758,574825,3251861,299527,594624,0,197356,3809280,11143020,713612,0,11856632,POINT (-94.6964148 40.73743240000001)
2013,87,TAYLOR,967938,989827,220850,339145,3286506,309510,592361,0,839551,2183202,9728890,750049,0,10478939,POINT (-94.6964148 40.73743240000001)
2014,87,TAYLOR,1249988,1000783,431277,329843,3110538,314278,657188,0,730759,742959,8567613,919122,0,9486735,POINT (-94.6964148 40.73743240000001)
2015,87,TAYLOR,1222554,1018748,155892,151133,3473206,334318,688279,0,1036395,3078580,11159105,764590,0,11923695,POINT (-94.6964148 40.73743240000001)
2016,87,TAYLOR,1555399,1014036,141450,386520,3106397,340696,692602,0,1209052,1533930,9980082,797885,0,10777967,POINT (-94.6964148 40.73743240000001)
2017,87,TAYLOR,1641171,1260691,95642,235251,4216083,363576,802713,0,953603,698402,10267132,796290,0,11063422,POINT (-94.6964148 40.73743240000001)
2018,87,TAYLOR,1560098,1234413,95508,228110,4233036,324015,823747,0,952982,39771,9491680,825962,0,10317642,POINT (-94.6964148 40.73743240000001)
2019,87,TAYLOR,1646817,1254688,144000,311016,3935935,312845,879511,0,947889,914523,10347224,808141,0,11155365,POINT (-94.6964148 40.73743240000001)
2020,87,Taylor,1729571,1251236,167570,448861,4009161,334609,933754,0,960378,181070,10016210,957624,0,10973834,POINT (-94.6964148 40.73743240000001)
2021,87,Taylor,1798341,1378755,168999,469263,4291102,363332,815989,0,962740,1127034,11375555,962162,0,12337717,POINT (-94.6964148 40.73743240000001)
2010,88,UNION,1294948,453798,1554650,613625,3709587,390259,925065,0,1396892,595521,10934345,658921,0,11593266,POINT (-94.2423792 41.0277304)
2011,88,UNION,1443469,521138,1529193,1197745,4388005,397182,1467876,0,1816877,6876913,19638398,1053343,0,20691741,POINT (-94.2423792 41.0277304)
2012,88,UNION,1494878,450792,1959535,715128,3468914,445194,996073,0,1812733,3855054,15198301,745761,0,15944062,POINT (-94.2423792 41.0277304)
2013,88,UNION,1505497,415432,692997,437672,3351398,439498,955268,0,1686999,625045,10109806,793271,0,10903077,POINT (-94.2423792 41.0277304)
2014,88,UNION,1610074,445402,1273496,1692344,3345041,448619,1034796,0,1539439,293625,11682836,698141,0,12380977,POINT (-94.2423792 41.0277304)
2015,88,UNION,1636615,400227,1480650,6744347,3347294,457587,987291,0,1385062,163739,16602812,1070888,0,17673700,POINT (-94.2423792 41.0277304)
2016,88,UNION,1622593,468900,1085716,3644867,3611410,472417,968744,0,1451676,433218,13759541,977756,0,14737297,POINT (-94.2423792 41.0277304)
2017,88,UNION,1682307,436159,509478,2610021,3677928,505521,946017,0,1444053,323195,12134679,1075887,0,13210566,POINT (-94.2423792 41.0277304)
2018,88,UNION,1818964,428475,495155,1175613,3619815,565496,987023,0,1947769,1082018,12120328,1009765,0,13130093,POINT (-94.2423792 41.0277304)
2019,88,UNION,1749135,422038,495156,562799,4141629,530266,1146822,0,2954078,1866596,13868519,1096019,0,14964538,POINT (-94.2423792 41.0277304)
2020,88,Union,1877185,402538,495156,556700,4063235,491561,1156479,0,1819072,5748220,16610146,1008826,0,17618972,POINT (-94.2423792 41.0277304)
2021,88,Union,1926125,532748,484736,573921,4030514,486754,1144661,13846,2040682,156713,11390700,1052658,0,12443358,POINT (-94.2423792 41.0277304)
2010,89,VAN BUREN,1036576,542900,506103,357175,2448313,306737,554600,86,0,132422,5884912,536919,0,6421831,POINT (-91.9499871 40.7532294)
2011,89,VAN BUREN,1076445,618294,468470,374050,3201472,295225,543905,449,0,333459,6911769,592453,0,7504222,POINT (-91.9499871 40.7532294)
2012,89,VAN BUREN,1105993,1053251,550546,633139,2633691,301407,523932,0,0,672205,7474164,628652,0,8102816,POINT (-91.9499871 40.7532294)
2013,89,VAN BUREN,1137543,535955,505515,356311,3323659,296413,556119,645,0,735587,7447747,672640,1378033,9498420,POINT (-91.9499871 40.7532294)
2014,89,VAN BUREN,1139408,501332,172901,422466,3015794,287825,622926,4546,0,282739,6449937,666428,0,7116365,POINT (-91.9499871 40.7532294)
2015,89,VAN BUREN,1199143,499474,81284,378439,3008478,273155,614630,0,0,559677,6614280,641180,0,7255460,POINT (-91.9499871 40.7532294)
2016,89,VAN BUREN,1229301,463031,229091,315431,3615402,264541,619142,7854,0,83209,6827002,664128,0,7491130,POINT (-91.9499871 40.7532294)
2017,89,VAN BUREN,1222008,518450,228622,376141,2981389,257665,740332,329635,0,167804,6822046,705136,0,7527182,POINT (-91.9499871 40.7532294)
2018,89,VAN BUREN,1287912,540901,249569,368106,3504493,288712,765604,43197,0,159724,7208218,729533,0,7937751,POINT (-91.9499871 40.7532294)
2019,89,VAN BUREN,1326462,537860,221677,381600,4806910,277537,769996,0,0,1142795,9464837,840148,0,10304985,POINT (-91.9499871 40.7532294)
2020,89,Van Buren,1446975,503585,251728,396463,3592635,309610,736643,2291,0,138367,7378297,968216,0,8346513,POINT (-91.9499871 40.7532294)
2021,89,Van Buren,1472803,538436,261543,430813,5213920,319652,637465,12579,0,53723,8940934,1005000,0,9945934,POINT (-91.9499871 40.7532294)
2010,90,WAPELLO,3262877,1458532,3417847,1103800,3743432,590822,2563034,122896,300065,795143,17358448,801239,0,18159687,POINT (-92.4094499 41.03058450000001)
2011,90,WAPELLO,3491128,1555546,3991273,956110,3902306,550461,2651075,118907,299475,2071532,19587813,1146480,0,20734293,POINT (-92.4094499 41.03058450000001)
2012,90,WAPELLO,3691871,1533429,5570679,850843,4075237,627209,2785544,132621,303425,4850259,24421117,1608996,0,26030113,POINT (-92.4094499 41.03058450000001)
2013,90,WAPELLO,3762142,1482589,2009856,910166,3822613,601387,2774921,131127,301755,3752770,19549326,1300000,0,20849326,POINT (-92.4094499 41.03058450000001)
2014,90,WAPELLO,3793671,1352250,1434733,812357,4043046,649124,2836932,127752,793609,3341622,19185096,1700020,0,20885116,POINT (-92.4094499 41.03058450000001)
2015,90,WAPELLO,3816719,1175283,1732128,813040,4141246,639378,2878445,120573,789540,2546572,18652924,1832250,0,20485174,POINT (-92.4094499 41.03058450000001)
2016,90,WAPELLO,3920676,1181992,2484270,836178,5136080,684087,3331640,102007,776677,1264979,19718586,1150000,0,20868586,POINT (-92.4094499 41.03058450000001)
2017,90,WAPELLO,4191232,1182575,1156831,830015,4522551,611789,3386397,63398,768865,1165367,17879020,1150000,0,19029020,POINT (-92.4094499 41.03058450000001)
2018,90,WAPELLO,4238551,1146735,1460011,842221,4655861,687581,3128651,71581,781055,2595276,19607523,1150000,0,20757523,POINT (-92.4094499 41.03058450000001)
2019,90,WAPELLO,4241162,1051774,2104191,871650,5672599,688865,2867335,72609,778025,1928889,20277099,1200000,0,21477099,POINT (-92.4094499 41.03058450000001)
2020,90,Wapello,4623375,804303,1969009,919497,4393855,678892,3147177,70944,488454,1300952,18396458,1200000,0,19596458,POINT (-92.4094499 41.03058450000001)
2021,90,Wapello,5157426,854922,1455048,944796,5059761,743721,3107330,68946,486564,1189990,19068504,1200000,0,20268504,POINT (-92.4094499 41.03058450000001)
2010,91,WARREN,4048468,2796624,3097130,1108993,5838237,766907,2517362,554,443520,2492776,23110571,2235633,0,25346204,POINT (-93.5613594 41.3343735)
2011,91,WARREN,4140083,2940796,3375299,1061226,5655210,769103,2455298,282,25905,818788,21241990,2337413,0,23579403,POINT (-93.5613594 41.3343735)
2012,91,WARREN,4663256,3032794,3589951,1441734,5189826,816171,2608709,17828,25905,1169343,22555517,2478238,0,25033755,POINT (-93.5613594 41.3343735)
2013,91,WARREN,4503918,3135749,3646385,1225488,5920229,830072,2587823,17742,46335,1273003,23186744,2923023,0,26109767,POINT (-93.5613594 41.3343735)
2014,91,WARREN,4652069,3537492,1096613,1812840,6080184,926766,2838653,0,46301,1959799,22950717,3060830,0,26011547,POINT (-93.5613594 41.3343735)
2015,91,WARREN,4482945,2882536,2890192,1203389,5955824,909281,2786886,0,33355,840952,21985360,3036731,0,25022091,POINT (-93.5613594 41.3343735)
2016,91,WARREN,4924276,2987057,1000500,1342477,6975431,988653,2745891,0,93606,1827895,22885786,2780153,0,25665939,POINT (-93.5613594 41.3343735)
2017,91,WARREN,5318201,2988100,1038894,1551143,6642904,1007141,3029016,1424,102213,1726455,23405491,3253045,0,26658536,POINT (-93.5613594 41.3343735)
2018,91,WARREN,5929123,2842401,803456,1695699,6577352,964063,2856591,0,95043,1788225,23551953,3240000,0,26791953,POINT (-93.5613594 41.3343735)
2019,91,WARREN,6402530,2629615,1414858,1538861,7450526,1025325,3005698,0,164467,4810124,28442004,3725000,0,32167004,POINT (-93.5613594 41.3343735)
2020,91,Warren,6860091,2476983,1597920,1597244,8468772,1040907,3073253,0,2334044,10474902,37924116,3416213,0,41340329,POINT (-93.5613594 41.3343735)
2021,91,Warren,7227199,2316334,1247200,1583595,8140533,1099873,3022741,0,3034303,16005332,43677110,3743566,0,47420676,POINT (-93.5613594 41.3343735)
2010,92,WASHINGTON,3790664,2369253,1663571,789325,4407314,592481,1603903,60211,2297776,308597,17883095,1698328,0,19581423,POINT (-91.7178676 41.335591)
2011,92,WASHINGTON,3778222,2392142,1483847,870203,4641116,594651,1583331,59755,2288019,1160768,18852054,1713632,0,20565686,POINT (-91.7178676 41.335591)
2012,92,WASHINGTON,3790209,2438258,2365812,1054864,4590946,595758,1539551,60623,2900987,5532665,24869673,3110741,0,27980414,POINT (-91.7178676 41.335591)
2013,92,WASHINGTON,4082648,2540974,803782,859122,4611669,600279,1734551,31375,3265961,3063380,21593741,3103615,0,24697356,POINT (-91.7178676 41.335591)
2014,92,WASHINGTON,3986723,2237629,338284,1284792,4939980,596069,1656379,55237,3117344,3032406,21244843,2313465,0,23558308,POINT (-91.7178676 41.335591)
2015,92,WASHINGTON,4304197,2180116,278969,949092,5108961,605089,1655685,92216,5156993,521463,20852781,2454504,0,23307285,POINT (-91.7178676 41.335591)
2016,92,WASHINGTON,4327329,2257742,640728,1057473,6055545,655377,1768724,48151,1391978,556912,18759959,2436205,14900000,36096164,POINT (-91.7178676 41.335591)
2017,92,WASHINGTON,4409571,2207036,464864,1094159,5608553,631665,1744753,127481,6077520,1066531,23432133,2672430,0,26104563,POINT (-91.7178676 41.335591)
2018,92,WASHINGTON,4794396,1995237,693211,1119309,5809685,809247,1731666,3398,2518756,1668107,21143012,2772456,0,23915468,POINT (-91.7178676 41.335591)
2019,92,WASHINGTON,4821091,2031480,825032,1169686,6132570,718420,1839710,4069,3142161,2311181,22995400,2833363,0,25828763,POINT (-91.7178676 41.335591)
2020,92,Washington,5884238,2051061,758258,1132079,6371225,754233,1810067,12239,4994258,6911007,30678665,3610353,0,34289018,POINT (-91.7178676 41.335591)
2021,92,Washington,7341992,2259605,925841,1196279,6376494,807391,1984857,9057,3201283,5426954,29529753,3091594,0,32621347,POINT (-91.7178676 41.335591)
2010,93,WAYNE,1007833,850132,680724,304091,2662471,192704,689891,25812,275815,662000,7351473,1768532,0,9120005,POINT (-93.3273639 40.73947020000001)
2011,93,WAYNE,1016902,838665,661360,284449,2774724,204039,658287,31091,290019,315269,7074805,857361,0,8094547,POINT (-93.3273639 40.73947020000001)
2012,93,WAYNE,1029029,889716,721781,233050,2818370,198394,539135,23092,402331,110222,6965120,646692,0,7611812,POINT (-93.3273639 40.73947020000001)
2013,93,WAYNE,1190372,1027522,477271,222564,3014293,223245,742658,14370,399976,58777,7371048,656724,0,8027772,POINT (-93.3273639 40.73947020000001)
2014,93,WAYNE,1268845,1082617,434077,675575,2977920,217463,815139,12254,128162,137991,7750043,573582,0,8323625,POINT (-93.3273639 40.73947020000001)
2015,93,WAYNE,1322702,1240165,176641,353982,3103482,218275,930714,12763,129563,626253,8114540,736605,0,8851145,POINT (-93.3273639 40.73947020000001)
2016,93,WAYNE,1369491,837778,387955,628349,2817926,275552,784170,25447,301043,166538,7594249,494161,2520000,10608410,POINT (-93.3273639 40.73947020000001)
2017,93,WAYNE,1540327,1081432,199845,475078,3339624,256627,795135,15867,260743,810208,8774886,637686,0,9412572,POINT (-93.3273639 40.73947020000001)
2018,93,WAYNE,1606412,1092037,228554,345027,3409233,259248,814277,12730,268283,365801,8401602,557010,0,8958612,POINT (-93.3273639 40.73947020000001)
2019,93,WAYNE,1756990,1013421,529786,409024,2913016,260237,890739,215000,265487,947487,9201187,659807,0,9860994,POINT (-93.3273639 40.73947020000001)
2020,93,Wayne,1828951,1097029,301403,315998,3801751,284486,1002319,0,268405,6174,8906516,678592,0,9585108,POINT (-93.3273639 40.73947020000001)
2021,93,Wayne,1963869,1239497,258432,316828,3663845,281622,994538,0,263904,201862,9184397,784700,0,9969097,POINT (-93.3273639 40.73947020000001)
2010,94,WEBSTER,4565859,2386662,4102886,1165178,6799145,741069,2411702,152118,573435,2179415,25077469,2030777,0,27108246,POINT (-94.18178810000002 42.4279662)
2011,94,WEBSTER,4586741,2337204,4027074,1104992,6576716,659874,2435027,0,926694,3144388,25798710,3379592,0,29178302,POINT (-94.18178810000002 42.4279662)
2012,94,WEBSTER,5104872,2492385,5427270,1167275,6525029,767275,2514844,95435,1038523,7189990,32322898,3090596,0,35413494,POINT (-94.18178810000002 42.4279662)
2013,94,WEBSTER,5043176,2608259,4197885,1431011,7056998,880854,2656107,952565,926374,3602439,29355668,3020693,0,32376361,POINT (-94.18178810000002 42.4279662)
2014,94,WEBSTER,4952634,3193181,2234199,1449449,6958507,848254,2814515,28204,1070234,1701195,25250372,3899708,0,29150080,POINT (-94.18178810000002 42.4279662)
2015,94,WEBSTER,4875140,3836472,2942590,1605215,7898520,869086,2741448,0,1018840,1807581,27594892,4397013,0,31991905,POINT (-94.18178810000002 42.4279662)
2016,94,WEBSTER,5020771,3216172,2125521,1562165,8193931,1247440,2767545,19487,1497770,1254304,26905106,4100177,0,31005283,POINT (-94.18178810000002 42.4279662)
2017,94,WEBSTER,5109301,3693202,2270027,1861467,8377235,917401,2800548,404155,1737984,5144521,32315841,4895053,0,37210894,POINT (-94.18178810000002 42.4279662)
2018,94,WEBSTER,5152249,4430820,2204611,1766187,8107736,975435,3008403,105428,1836840,6012000,33599709,5957195,0,39556904,POINT (-94.18178810000002 42.4279662)
2019,94,WEBSTER,5417401,4209510,1991304,1860914,8474728,938943,3063114,72767,2004856,3674646,31708183,5091850,0,36800033,POINT (-94.18178810000002 42.4279662)
2020,94,Webster,5695980,4251144,1487481,1967338,9050179,864603,2964825,42236,1980167,4681271,32985224,6064127,0,39049351,POINT (-94.18178810000002 42.4279662)
2021,94,Webster,6016449,4115194,1088310,2005984,7961289,1018395,3366081,0,2916587,7567339,36055628,5856432,0,41912060,POINT (-94.18178810000002 42.4279662)
2010,95,WINNEBAGO,1687946,905181,1383533,560542,2966283,404998,778074,144648,93568,2213373,11138146,1348928,0,12487074,POINT (-93.7341955 43.37756780000001)
2011,95,WINNEBAGO,1699556,1019983,1358768,661552,3680283,362235,813748,4440,905020,13069769,23575354,1419461,0,24994815,POINT (-93.7341955 43.37756780000001)
2012,95,WINNEBAGO,1453965,1072988,1579716,665967,3349190,412269,820648,115920,781959,5248460,15501082,1450644,0,17101726,POINT (-93.7341955 43.37756780000001)
2013,95,WINNEBAGO,1598393,1081324,852343,646918,3223748,484857,951229,139285,1079356,3432261,13489714,1497187,0,14986901,POINT (-93.7341955 43.37756780000001)
2014,95,WINNEBAGO,1462144,1153342,652450,675470,3388570,439819,1293646,132304,2475087,2701927,14374759,1497089,0,15871848,POINT (-93.7341955 43.37756780000001)
2015,95,WINNEBAGO,1543077,1209489,800531,869029,3231469,478224,1215986,7770,2120262,670686,12146523,1812775,0,13959298,POINT (-93.7341955 43.37756780000001)
2016,95,WINNEBAGO,1797766,1340252,782079,813930,3638957,525069,1788926,7770,2700822,1188483,14584054,1591506,0,16175560,POINT (-93.7341955 43.37756780000001)
2017,95,WINNEBAGO,1984683,1426631,811965,779890,3639311,530130,1675197,0,3246273,5848568,19942648,1772943,0,21715591,POINT (-93.7341955 43.37756780000001)
2018,95,WINNEBAGO,2051624,1289931,668302,818914,3634323,553405,1265435,1792493,17796784,447992,30319203,1718666,0,32037869,POINT (-93.7341955 43.37756780000001)
2019,95,WINNEBAGO,2178213,1230836,926940,761181,3926888,567942,1129113,17760,2694751,909541,14343165,1691289,0,16034454,POINT (-93.7341955 43.37756780000001)
2020,95,Winnebago,2330108,1245998,544299,828245,3776011,623519,1291636,0,2463292,1595192,14698300,3212041,0,17910341,POINT (-93.7341955 43.37756780000001)
2021,95,Winnebago,2449847,1326201,354234,822489,4218623,601813,1227373,9435,2491675,888351,14390041,2180318,6810000,23380359,POINT (-93.7341955 43.37756780000001)
2010,96,WINNESHIEK,2059747,1676637,2003041,3454444,6472170,327219,1389059,2644,487723,504631,18377315,1958320,0,20335635,POINT (-91.8437074 43.2906746)
2011,96,WINNESHIEK,2206338,1442169,2120130,1694364,5044209,403038,1654731,2720,492025,1735638,16795362,1960902,0,18756264,POINT (-91.8437074 43.2906746)
2012,96,WINNESHIEK,2289334,1447486,3058461,1540473,5673622,454327,1743322,14004,0,1642323,17863352,1911485,0,19774837,POINT (-91.8437074 43.2906746)
2013,96,WINNESHIEK,2311865,1333309,1369377,1517974,5902744,505879,1959576,3390,0,716910,15621024,2038060,0,17659084,POINT (-91.8437074 43.2906746)
2014,96,WINNESHIEK,2460696,1319144,1707689,1614436,5750366,521657,2019234,3398,0,2021745,17418365,2134003,0,19552368,POINT (-91.8437074 43.2906746)
2015,96,WINNESHIEK,2640629,1296910,1550997,1683668,5938484,548224,2013816,3712,0,1688487,17364927,2324543,0,19689470,POINT (-91.8437074 43.2906746)
2016,96,WINNESHIEK,2779632,1338966,834017,1817449,7482356,540694,2842532,4087,0,1637549,19277282,2397285,0,21674567,POINT (-91.8437074 43.2906746)
2017,96,WINNESHIEK,3958949,1241964,967481,2022243,7959011,566340,2376381,2002804,0,2799589,23894762,2596619,0,26491381,POINT (-91.8437074 43.2906746)
2018,96,WINNESHIEK,3101880,1217109,893389,2326729,6692830,576687,2536079,1574,0,1376654,18722931,2679489,0,21402420,POINT (-91.8437074 43.2906746)
2019,96,WINNESHIEK,3337084,1216199,833411,2400170,8265343,584651,2753208,1821,0,1539339,20931226,2742101,0,23673327,POINT (-91.8437074 43.2906746)
2020,96,Winneshiek,3787668,1309976,766065,2995416,9432451,620524,2193270,2816,0,2297242,23405428,2844307,0,26249735,POINT (-91.8437074 43.2906746)
2021,96,Winneshiek,4154139,1390952,600870,3478484,7283891,587435,2177311,1974,0,2265166,21940222,2719344,0,24659566,POINT (-91.8437074 43.2906746)
2010,97,WOODBURY,13347078,5540717,11464245,2100869,7617416,1995878,5483036,19574,793611,1990194,50352618,6559710,0,56912328,POINT (-96.0447673 42.3897169)
2011,97,WOODBURY,13270418,5556231,11469912,2233831,6873084,2009793,6119398,51762,904293,3069981,51558703,7028026,0,58586729,POINT (-96.0447673 42.3897169)
2012,97,WOODBURY,12728102,5220415,12548277,2084591,7166696,1920042,6130537,97792,832005,2749710,51478167,6311436,0,57789603,POINT (-96.0447673 42.3897169)
2013,97,WOODBURY,13218576,5087440,5377835,2109914,6900632,2109738,5858173,8422,1014028,2680364,44365122,6340279,0,50705401,POINT (-96.0447673 42.3897169)
2014,97,WOODBURY,13700876,5420019,4993564,2380294,6932727,2296383,5893990,28420,1030292,2219078,44895643,8085760,0,52981403,POINT (-96.0447673 42.3897169)
2015,97,WOODBURY,14478134,5313524,4770191,2457371,6171294,2206920,6669747,27998,1096411,6188963,49380553,9538153,0,58918706,POINT (-96.0447673 42.3897169)
2016,97,WOODBURY,15518617,5077787,6432509,2450456,9069641,2258242,6644648,183101,1042719,5826904,54504624,9652633,0,64157257,POINT (-96.0447673 42.3897169)
2017,97,WOODBURY,16420070,4969511,3237770,2552551,8469676,2312184,6763383,169980,1357034,7039898,53292057,11324759,0,64616816,POINT (-96.0447673 42.3897169)
2018,97,WOODBURY,16901620,4968976,1725749,2354035,8488778,2321286,7056975,371221,2164978,7803031,54156649,10891084,0,65047733,POINT (-96.0447673 42.3897169)
2019,97,WOODBURY,18404699,5170585,2368207,2932081,8687732,2276732,6813880,1201271,2474680,4411926,54741793,9470805,0,64212598,POINT (-96.0447673 42.3897169)
2020,97,Woodbury,18796200,5382939,4585996,3258589,9110733,2570224,7058544,1191001,1541326,3399370,56894922,9620676,0,66515598,POINT (-96.0447673 42.3897169)
2021,97,Woodbury,19792314,5169895,4035557,3617436,10749033,2637246,7058414,957105,1594058,5751176,61362234,9967213,0,71329447,POINT (-96.0447673 42.3897169)
2010,98,WORTH,1538367,911613,727653,733036,3272808,305279,1012615,0,731255,6986249,16218875,883013,0,17101888,POINT (-93.2608476 43.3773984)
2011,98,WORTH,1628087,947770,754033,737163,3056894,313553,1234318,0,580693,3593005,12845516,979268,0,13824784,POINT (-93.2608476 43.3773984)
2012,98,WORTH,1955927,914176,899159,908288,3057100,325509,1090626,0,1144721,5645495,15941001,1020804,0,16961805,POINT (-93.2608476 43.3773984)
2013,98,WORTH,2088913,854388,719501,919701,2348143,349655,1134791,0,1320492,2334332,12069916,1136630,0,13206546,POINT (-93.2608476 43.3773984)
2014,98,WORTH,2529286,843645,279914,823652,3252674,341245,1294957,0,1576244,3253270,14194887,1153800,0,15348687,POINT (-93.2608476 43.3773984)
2015,98,WORTH,2126064,1037575,374325,837116,4276635,321512,1266797,0,1823058,1078117,13141199,1094595,0,14235794,POINT (-93.2608476 43.3773984)
2016,98,WORTH,2151637,1065120,292581,859295,3343892,369143,1375689,0,2244303,1937940,13639600,1653659,0,15293259,POINT (-93.2608476 43.3773984)
2017,98,WORTH,2202354,891476,266388,869628,3537316,359787,1322171,0,2205619,916606,12571345,2120874,0,14692219,POINT (-93.2608476 43.3773984)
2018,98,WORTH,2293138,920280,329133,921297,3717655,374591,1416655,2080617,8755739,776921,21586026,1483658,0,23069684,POINT (-93.2608476 43.3773984)
2019,98,WORTH,2315599,953343,331849,871371,4266175,402266,1469070,0,2274775,2500975,15385423,1101777,0,16487200,POINT (-93.2608476 43.3773984)
2020,98,Worth,2368265,899691,264025,978459,4268062,433493,1560226,0,2275546,988165,14035932,1339259,0,15375191,POINT (-93.2608476 43.3773984)
2021,98,Worth,2433562,958541,220860,1047289,4041037,456335,1858112,0,2279604,2285937,15581277,1590337,0,17171614,POINT (-93.2608476 43.3773984)
2010,99,WRIGHT,1698519,3148094,1344749,867087,3501047,433188,1072126,20577,802382,1075422,13963191,1713087,0,15676278,POINT (-93.7351465 42.7331189)
2011,99,WRIGHT,1839997,3150812,1671892,791467,3849495,428912,1087510,17644,251743,1292212,14381684,1597480,0,15979164,POINT (-93.7351465 42.7331189)
2012,99,WRIGHT,1877013,3209509,1763932,911196,4099996,470643,1235705,21182,391466,2384074,16364716,1711164,0,18075880,POINT (-93.7351465 42.7331189)
2013,99,WRIGHT,1921064,3491450,689362,875229,3935478,488583,1267057,48546,336031,285053,13337853,1701777,0,15039630,POINT (-93.7351465 42.7331189)
2014,99,WRIGHT,1954130,3881345,896637,900270,4784213,508488,1237947,24816,305891,715570,15209307,1917801,0,17127108,POINT (-93.7351465 42.7331189)
2015,99,WRIGHT,2107427,4033350,834551,859491,4814403,499269,1220320,27186,330591,992718,15719306,1862351,0,17581657,POINT (-93.7351465 42.7331189)
2016,99,WRIGHT,2233639,3333402,700304,896151,5256352,488085,1333359,26023,354592,151342,14773249,2288074,0,17061323,POINT (-93.7351465 42.7331189)
2017,99,WRIGHT,2281616,2705755,949693,1018105,5490029,538990,1364852,29369,367116,727287,15472812,2518111,0,17990923,POINT (-93.7351465 42.7331189)
2018,99,WRIGHT,2659615,2373699,818518,1006892,5572182,517857,1505703,1263399,484641,6878085,23080591,2302900,0,25383491,POINT (-93.7351465 42.7331189)
2019,99,WRIGHT,2585515,1998293,642193,998608,6402789,515350,1619820,54651,2221673,5678930,22717822,4030460,0,26748282,POINT (-93.7351465 42.7331189)
2020,99,Wright,3597037,1868823,626274,1165407,6181058,561983,1547502,50889,1177968,3388489,20165430,4823983,2165300,27154713,POINT (-93.7351465 42.7331189)
2021,99,Wright,3566995,1220304,386216,974983,5596666,614312,1597437,46530,3369316,1967846,19340605,2508751,0,21849356,POINT (-93.7351465 42.7331189)
