"GEOID","ï..County.x","Total","Retired.workers","Spouses","Children","Widow.er.s.and.parents","Children.1","Disabled.workers","Spouses.1","Children.2","Men..above.65.","Women..above.65.","ï..County.y","d2020","Total.disabled.population.of.all.ages.Pct","Total.disabled.population.of.all.ages"
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
